Course Name,Platform
Internet of Things with Microcontrollers: a hands-on course / L'Internet des Objets sur microcontrôleurs par la pratique,France Université Numerique
Online Master of Science in Cybersecurity (OMS Cybersecurity),edX
Online Master of Science in Computer Science (OMSCS),Others
Health Informatics on FHIR,edX
Data Structures and Algorithms,edX
Compilers,Coursera
Startup Engineering,Coursera
Cybersecurity,Coursera
Accelerated Computer Science Fundamentals,Coursera
Master of Computer Science,Coursera
Master of Computer Science in Data Science,Coursera
Cyber Security Operations (Cisco CCNA),FutureLearn
Cyber Security Operations (Cisco CCNA),FutureLearn
Cyber Security Operations (Cisco),FutureLearn
Medicine in the Digital Age,edX
Predictive Analytics using Python,edX
Self-Driving Cars,Coursera
Natural Language Processing,Coursera
Computer Security and Systems Management,Coursera
Online Master of Computer Science,Coursera
AI Programming with Python,Udacity
Secure Coding Practices,Coursera
Health Information Literacy for Data Analytics,Coursera
Fundamentals of Computing,Coursera
Mathematics for Machine Learning,Coursera
"Parallel, Concurrent, and Distributed Programming in Java",Coursera
The Fundamentals of Computing Capstone Exam,Coursera
Data Structures and Algorithms,Coursera
数据结构与算法第一部分 | Data Structures and Algorithms Part 1,edX
程序设计与算法,Coursera
数据结构与算法第二部分 | Data Structures and Algorithms Part 2,edX
算法基础 | Fundamental Algorithms,edX
理论计算机科学基础 | Introduction to Theoretical Computer Science,edX
程序开发项目实践,Coursera
Advanced Machine Learning,Coursera
Master’s Degree in Computer Science,edX
Машинное обучение: от статистики до нейросетей,Coursera
Промышленное машинное обучение,Coursera
Information​ ​Systems,Coursera
Recommender Systems,Coursera
Nursing Informatics Leadership,Coursera
Recommender Systems Capstone,Coursera
Cybersecurity in the Cloud,Coursera
Cisco Networking Basics,Coursera
Become a Self-Driving Car Engineer,Udacity
Google IT Support,Coursera
Responsabilidad Social Corporativa y su impacto sobre la Gestión de la Tecnología de la Información,edX
Reinforcement Learning,Coursera
Creative Applications of Deep Learning with TensorFlow II,Kadenze
Quantum Technology: Computing,edX
Quantum Technology: Detectors and Networking,edX
Embedding Sensors and Motors,Coursera
Cybersecurity Capstone Project,Coursera
Developing Industrial Internet of Things,Coursera
Mind and Machine,Coursera
Fundamentals of Computer Network Security,Coursera
Computer Communications,Coursera
Cybersecurity for Business,Coursera
Computational Thinking with Beginning C Programming,Coursera
Applied Cryptography,Coursera
Introduction to Applied Cryptography,Coursera
Advanced System Security Design,Coursera
Homeland Security and Cybersecurity,Coursera
Requirements Engineering: Secure Software Specifications,Coursera
Secure Software Design,Coursera
Clinical Data Science,Coursera
Unlocking Information Security,edX
Fundamentals of Computer Science,edX
Robotic Vision,FutureLearn
TensorFlow 2 for Deep Learning,Coursera
Master of Machine Learning and Data Science,Coursera
Creative Applications of Deep Learning with TensorFlow III,Kadenze
IBM Cybersecurity Analyst,Coursera
DeepLearning.AI TensorFlow Developer,Coursera
Custom Prediction Routine on Google AI Platform,Coursera
Introducción a la inteligencia artificial,Coursera
"Computing: Art, Magic, Science",edX
Introduction to Computer Science and Programming,Coursera
Applied AI,edX
Cisco Network Security: Intrusion Detection and Prevention,LinkedIn Learning
Intro to Machine Learning with PyTorch,Udacity
Machine Learning for Trading,Coursera
Sequence Models for Time Series and Natural Language Processing,Coursera
Data Structures and Algorithms,Coursera
IT Fundamentals for Business Professionals,edX
Fundamentos TIC para profesionales de negocios,edX
Introduction to Recommender Systems,Coursera
6.00x: Introduction to Computer Science and Programming,edX
ИТ-кризисология. Антикризисная разработка программных систем,Coursera
Cybersecurity,edX
Emerging Technologies: From Smartphones to IoT to Big Data,Coursera
Emerging Technologies: From Smartphones to IoT to Big Data,Coursera
How Cyber Security Affects the Software Development Life Cycle,FutureLearn
Secure System Analysis and Design,FutureLearn
Security System and Application Development,FutureLearn
System Security Testing and Maintenance,FutureLearn
Current Issues in Secure Development,FutureLearn
Introduction to Network Defence Management,FutureLearn
Network Defence Management: A History of IT,FutureLearn
Network Defence Management: Network Environments,FutureLearn
Network Defence Management: Security Architecture,FutureLearn
The Future of Network Defence Management,FutureLearn
Cryptography and Digital Certificates,FutureLearn
The Future of Cyber Security and Emerging Technologies,FutureLearn
The Cyber Security Landscape,FutureLearn
Risk Management and Security Vulnerabilities,FutureLearn
Information Security Policy and Management,FutureLearn
IoT Capstone Project,edX
Internet of Things (IoT),edX
Cryptography II,Coursera
Masters Degree in Information Technology Leadership,FutureLearn
Fundamentals of Digital Health in Hospitals,FutureLearn
Learn Ethical Hacking From Scratch,Udemy
Desarrollo y gestión de proyectos informáticos,edX
Business Technology Management,Coursera
Deep Learning,Coursera
Spatial Computational Thinking,edX
Docker Mastery: with Kubernetes +Swarm from a Docker Captain,Udemy
Docker and Kubernetes: The Complete Guide,Udemy
Deep Learning A-Z™: Hands-On Artificial Neural Networks,Udemy
TOTAL: CompTIA A+ Certification (220-1001).,Udemy
The Complete Cyber Security Course : Hackers Exposed!,Udemy
Cisco CCNA 200-301 – The Complete Guide to Getting Certified,Udemy
The Complete Ethical Hacking Course: Beginner to Advanced!,Udemy
TOTAL: CompTIA Security+ Certification (SY0-501).,Udemy
Learn Linux in 5 Days and Level Up Your Career,Udemy
The Complete Networking Fundamentals Course. Your CCNA start,Udemy
CCNA 2020 200-125 Video Boot Camp With Chris Bryant,Udemy
Kubernetes for the Absolute Beginners - Hands-on,Udemy
Cybersecurity: Developing a Program for Your Business,Coursera
Google IT Automation with Python,Coursera
Applications of Blockchain,FutureLearn
Blockchain,Coursera
Managing Cybersecurity,Coursera
The Business of Cybersecurity Capstone,Coursera
Certified Kubernetes Administrator (CKA) with Practice Tests,Udemy
Practical Ethical Hacking - The Complete Course,Udemy
Etik Hacker Olma Kursu,Udemy
TOTAL: CompTIA Network+ Certification (N10-007),Udemy
Artificial Intelligence A-Z™: Learn How To Build An AI,Udemy
Programming Foundations: Algorithms,LinkedIn Learning
Complete Guide to TensorFlow for Deep Learning with Python,Udemy
Linux Administration Bootcamp: Go from Beginner to Advanced,Udemy
CompTIA Security+ (SY0-501 & SY0-601) Complete Course & Exam,Udemy
DevOps Foundations,LinkedIn Learning
Blockchain Basics,LinkedIn Learning
Mastering Data Structures & Algorithms using C and C++,Udemy
The Absolute Beginners Guide to Cyber Security 2020 - Part 1,Udemy
Cisco CCNA 200-301 Exam: Complete Course with practical labs,Udemy
Fundamentos de Ethical Hacking: curso prático,Udemy
AZ-204 Developing for Microsoft Azure Exam Prep,Udemy
Cryptocurrency Investment Course 2020: Fund your Retirement!,Udemy
JavaScript Algorithms and Data Structures Masterclass,Udemy
Ethereum and Solidity: The Complete Developer's Guide,Udemy
[SerTop] Algoritmos e Lógica - I,Udemy
Docker Crash Course for busy DevOps and Developers,Udemy
Linux Mastery: Master the Linux Command Line in 11.5 Hours,Udemy
Microsoft SQL for Beginners,Udemy
Security Awareness Training,Udemy
Learning Kubernetes,LinkedIn Learning
CompTIA Network+ (N10-007) Full Course & Practice Exam,Udemy
The Complete Cyber Security Course : Network Security!,Udemy
【キカガク流】人工知能・機械学習 脱ブラックボックス講座 - 初級編 -,Udemy
Website Hacking / Penetration Testing & Bug Bounty Hunting,Udemy
Kubernetes Certified Application Developer (CKAD) with Tests,Udemy
Artificial Intelligence Foundations: Thinking Machines,LinkedIn Learning
Complete Linux Training Course to Get Your Dream IT Job 2021,Udemy
Learn DevOps: Infrastructure Automation With Terraform,Udemy
TOTAL: CompTIA A+ Certification (220-1002).,Udemy
Microsoft Windows Server 2016 Training for Beginners,Udemy
Arquitetura de Redes,Udemy
CCNP All-in-1 Video Boot Camp With Chris Bryant,Udemy
"DevOps: CI/CD with Jenkins pipelines, Maven, Gradle",Udemy
Preparatório para Certificação Linux LPIC-1 | Atualizado V5,Udemy
Python para Data Science e Machine Learning - COMPLETO,Udemy
Easy to Advanced Data Structures,Udemy
Docker: Ferramenta essencial para Desenvolvedores,Udemy
Introduction to Shell,Datacamp
New CCNAx 200-125 Routing and Switching,Udemy
Active Directory & Group Policy Lab,Udemy
NLP - Natural Language Processing with Python,Udemy
Data Science for Everyone,Datacamp
Introduction to Data Structures & Algorithms in Java,LinkedIn Learning
CompTIA CySA+ (CS0-002) Complete Course & Practice Exam,Udemy
"Jenkins, From Zero To Hero: Become a DevOps Jenkins Master",Udemy
Hacking Éthique : Le Cours Complet,Udemy
Shell Scripting: Discover How to Automate Command Line Tasks,Udemy
Introduction to Service Management with ITIL 4,Udemy
Linux Shell Scripting: A Project-Based Approach to Learning,Udemy
Introduction to Computer Networks for Non-Techies,Udemy
みんなのAI講座 ゼロからPythonで学ぶ人工知能と機械学習 【2020年最新版】,Udemy
Bash Scripting and Shell Programming (Linux Command Line),Udemy
Linux for Beginners,Udemy
Cryptocurrency Trading Course 2020: Achieve Wins Daily!,Udemy
Arduino Step by Step: Getting Started,Udemy
Python for Computer Vision with OpenCV and Deep Learning,Udemy
Certificação Cisco CCNA 200-301 + 4 Cursos EXTRAS,Udemy
Natural Language Processing,Coursera
Learn DevOps: CI/CD with Jenkins using Pipelines and Docker,Udemy
Cisco CCNA R/S (200-120 & 200-125): The Complete Course,Udemy
Linux: Bash Shell and Scripts,LinkedIn Learning
Linux: Bash Shell and Scripts,LinkedIn Learning
Windows Server 2012 System Administration: Get an IT Job!,Udemy
Blockchain: Beyond the Basics,LinkedIn Learning
Curso completo de Lógica de Programação e Algoritmos,Udemy
TOTAL: CompTIA IT Fundamentals ITF+ (FCO-U61).,Udemy
Build+Deploy+Test with Jenkins 2.0,Udemy
Cisco CCNA Packet Tracer Ultimate labs: CCNA 200-301 labs,Udemy
IP Addressing and Subnetting,Udemy
Data Science for Business,Datacamp
Cisco Networking Foundations,LinkedIn Learning
"CompTIA A+ (220-1001) Test Prep, Exams and Simulations",Udemy
CompTIA A+ (220-1001) Cert Prep 1: The Basics,LinkedIn Learning
Tensorflow 2.0: Deep Learning and Artificial Intelligence,Udemy
Learning Bash Scripting (2013),LinkedIn Learning
HashiCorp Certified: Terraform Associate 2020,Udemy
Python Network Programming Complete Masterclass,Udemy
Ethical Hacking: Introduction to Ethical Hacking,LinkedIn Learning
Introduction to Cyber Security,Coursera
Cisco NEW CCNA R/S (200-125): The Complete Course,Udemy
DevOps Foundations: Continuous Delivery/Continuous Integration,LinkedIn Learning
Learn Ethical Hacking: Beginner to Advanced!,Udemy
"GitLab CI: Pipelines, CI/CD and DevOps for Beginners",Udemy
#1 Cryptocurrency Long-term Investment Opportunity 2017/2018,Udemy
Cisco CCNA 200-301 en español,Udemy
Zabbix: construindo um ambiente de monitoramento,Udemy
Information Security Management Fundamentals for Non-Techies,Udemy
【キカガク流】人工知能・機械学習 脱ブラックボックス講座 - 中級編 -,Udemy
Cybersecurity Foundations,LinkedIn Learning
Curso Completo de Hacking Ético,Udemy
Learn Network Hacking From Scratch (WiFi & Wired),Udemy
Artificial Intelligence for Project Managers,LinkedIn Learning
Microsoft SQL from A to Z,Udemy
AZ-204 - Developing Solutions for Azure - UPDATED 2020,Udemy
Машинное обучение и анализ данных,Coursera
Applied Machine Learning: Foundations,LinkedIn Learning
Blockchain for Business 2021: The New Industrial Revolution,Udemy
Networking Foundations: IP Addressing,LinkedIn Learning
Kali Linux on Windows 10 First Look,LinkedIn Learning
IT Help Desk Professional,Udemy
Deep Learning and NLP A-Z™: How to create a ChatBot,Udemy
Getting Started With Application Development,Coursera
Machine Learning e Data Science com Python de A a Z,Udemy
Complete Tensorflow 2 and Keras Deep Learning Bootcamp,Udemy
Learn Social Engineering From Scratch,Udemy
The Complete Cyber Security Course : Anonymous Browsing!,Udemy
Data Engineering for Everyone,Datacamp
Applied Machine Learning: Algorithms,LinkedIn Learning
"The Ultimate Dark Web, Anonymity, Privacy & Security Course",Udemy
Linux Basics: All You Need To Know To Start,Udemy
CompTIA Network+ (N10-007) Cert Prep: 4 Making TCP/IP Work,LinkedIn Learning
Kubernetes Hands-On - Deploy Microservices to the AWS Cloud,Udemy
Architecting with Google Kubernetes Engine,Coursera
Windows Server 2016 Administration,Udemy
"Deep Learning: Advanced Computer Vision (GANs, SSD, +More!)",Udemy
OpenCV for Python Developers,LinkedIn Learning
Machine Learning for Everyone,Datacamp
Kali Linux Tutorial For Beginners,Udemy
Linux for Absolute Beginners!,Udemy
Machine Learning and AI Foundations: Value Estimations,LinkedIn Learning
CCNA Security 2019 210-260 Video Boot Camp With Chris Bryant,Udemy
Machine Learning e Data Science com Python,Udemy
The Complete Ethical Hacking Course for 2016/2017!,Udemy
Computer-Netzwerke (CompTIA Network+) - der umfassende Kurs,Udemy
DevOps MasterClass : GIT Docker Jenkins Kubernetes Terraform,Udemy
Ethical Hacking: Wireless Networks,LinkedIn Learning
Ethical Hacking (CEHv10) - Der umfassende Kurs,Udemy
Architecting with Google Kubernetes Engine: Foundations,Coursera
Java: Data Structures,LinkedIn Learning
The Complete Cyber Security Course : End Point Protection!,Udemy
Learning Arduino: Pulse Width Modulation,LinkedIn Learning
The Complete Wireshark Course: Go from Beginner to Advanced!,Udemy
Hacking For Beginners,Udemy
Become a Blockchain Developer with Ethereum and Solidity,Udemy
Deep Learning Prerequisites: Logistic Regression in Python,Udemy
Hacking in Practice: Intensive Ethical Hacking MEGA Course,Udemy
A-Z Machine Learning using Azure Machine Learning (AzureML),Udemy
Arduino Programming and Hardware Fundamentals with Hackster,Udemy
The Complete Cryptocurrency Course: More than 5 Courses in 1,Udemy
Cisco CCNA 200-301 : Full Course For Networking Basics,Udemy
The Complete Ethical Hacking Course!,Udemy
Ermin Kreponic's Course for CentOS and Red Hat Linux - RHCSA,Udemy
Building and Deploying Deep Learning Applications with TensorFlow,LinkedIn Learning
Learning Linux Shell Scripting,LinkedIn Learning
The Absolute Beginners Guide to Cyber Security 2020 - Part 2,Udemy
Ethereum Blockchain Developer Bootcamp With Solidity (2020),Udemy
Clear and Simple VMware vSphere 6.5 Foundations VCP - Part 1,Udemy
Chef Fundamentals: A Recipe for Automating Infrastructure,Udemy
Learn Linux Administration and Supercharge Your Career,Udemy
IT Fundamentals for Cybersecurity,Coursera
The Complete Self-Driving Car Course - Applied Deep Learning,Udemy
Sıfırdan İleri Düzey Etik Hacker Kursu (Uygulamalı),Udemy
The Complete Machine Learning Course with Python,Udemy
IBM AI Engineering,Coursera
Jenkins 2 Bootcamp: Fully Automate Builds to Deployment 2020,Udemy
Computer Science 101: Master the Theory Behind Programming,Udemy
Deep Learning: Advanced NLP and RNNs,Udemy
Learning Azure DevOps,LinkedIn Learning
The Beginners Guide to Cyber Security 2020,Udemy
CompTIA Network+ (N10-007) Cert Prep: 2 The Physical Network,LinkedIn Learning
Data Structures and Algorithms - The Complete Masterclass,Udemy
Learn Devops: Continuously Deliver Better Software,Udemy
ChatBots: Messenger ChatBot - DialogFlow and nodejs,Udemy
TOTAL: CompTIA CySA+ Cybersecurity Analyst (CS0-002),Udemy
IBM Applied AI,Coursera
"Linux Security and Hardening, The Practical Security Guide.",Udemy
Active Directory on Windows Server 2016,Udemy
Deep Learning with Python and Keras,Udemy
Jenkins Essential Training,LinkedIn Learning
Ethical Hacking: System Hacking,LinkedIn Learning
"VMware vSphere 6.0 Part 1 - Virtualization, ESXi and VMs",Udemy
AI for Medicine,Coursera
Ethical Hacking with JavaScript,LinkedIn Learning
Linux for Developers,Coursera
Raspberry Pi Weekly,LinkedIn Learning
CompTIA Pentest+ (Ethical Hacking) Course & Practice Exam,Udemy
Start Using Wireshark to Hack like a Pro,Udemy
Complete Linux course: Become a Linux professional,Udemy
ゼロからはじめる Dockerによるアプリケーション実行環境構築,Udemy
Deep Learning A-Z™| Python ile Derin Öğrenme,Udemy
The Complete VMware vSphere 7: Beginner to Advanced-pt 1/2,Udemy
Raspberry Pi: Home Monitoring and Control,LinkedIn Learning
Bash Shell Scripting: Crash Course For Beginners,Udemy
AI Accountability Essential Training,LinkedIn Learning
CompTIA Network+ (N10-007) Cert Prep: 3 The World of TCP/IP,LinkedIn Learning
Penetration Testing: Advanced Kali Linux,LinkedIn Learning
Building Deep Learning Applications with Keras 2.0,LinkedIn Learning
Wireshark: Packet Analysis and Ethical Hacking: Core Skills,Udemy
Ansible for Network Engineers: Quick Start GNS3 & Ansible,Udemy
Modern Deep Learning in Python,Udemy
Machine Learning,Udemy
Redes TCP/IP,Udemy
CompTIA Network+ (N10-007) Cert Prep: 5 Securing TCP/IP,LinkedIn Learning
Linux for Network Engineers: Practical Linux with GNS3,Udemy
Cisco CCENT / ICND1 (100-105) + Bonus: The Complete Course,Udemy
Docker for Developers and DevOps,Udemy
Cisco Nexus Training : Go from Beginner to Advanced!,Udemy
Spark for Machine Learning & AI,LinkedIn Learning
Penetration Testing Essential Training,LinkedIn Learning
Docker for Java Developers,Udemy
Feature Engineering,Coursera
Ethical Hacking mit Python in der Praxis: Der Komplettkurs,Udemy
Deployment of Machine Learning Models,Udemy
Raspberry Pi Essential Training,LinkedIn Learning
Raspberry Pi Essential Training,LinkedIn Learning
Cisco CCNA 200-301 Complete Course: Packet Tracer Labs,Udemy
Build a Blockchain and a Cryptocurrency from Scratch,Udemy
Machine Learning with Javascript,Udemy
AWS SageMaker - Certified Machine Learning Specialty Exam,Udemy
Complete Guide to Build IOT Things from Scratch to Market,Udemy
Mathematica 11 Machine Learning,LinkedIn Learning
Linux Administration with Troubleshooting Skills - Hands On,Udemy
CompTIA A+ (220-1001) Cert Prep 2: Microprocessing and RAM,LinkedIn Learning
TensorFlow: Data and Deployment,Coursera
"Cryptocurrency: Complete Bitcoin, Ethereum, Altcoins! (8 HR)",Udemy
The Complete Hands-On Introduction to Apache Airflow,Udemy
Le Deep Learning de A à Z,Udemy
Cisco CCNP Enterprise ( ENARSI + ENCOR ) Training,Udemy
Cisco CCNA (200-301) Cert Prep: Network Fundamentals and Access,LinkedIn Learning
Curso completo de Machine Learning: Data Science con RStudio,Udemy
Microsoft Windows Server 2012 Certification - Exam 70-410,Udemy
Network Hacking Continued - Intermediate to Advanced,Udemy
CompTIA A+ (220-1001) Cert Prep 3: Core Hardware,LinkedIn Learning
"Complete Guide to Protocol Buffers 3 [Java, Golang, Python]",Udemy
Machine Learning von A-Z: Lerne Python & R für Data Science!,Udemy
Deep Learning: GANs and Variational Autoencoders,Udemy
Cyber Security - Go From Zero to Hero (2020),Udemy
"Docker - Introducing Docker Essentials, Containers, and more",Udemy
"【4日で体験！】 TensorFlow, Keras, Python 3 で学ぶディープラーニング体験講座",Udemy
Learning the OWASP Top 10,LinkedIn Learning
Learning Bitcoin and Other Cryptocurrencies,LinkedIn Learning
"CompTIA A+ (220-1002) Test Prep, Exams and Simulations",Udemy
Blockchain Revolution,Coursera
Computer Science Fundamentals,edX
Cybersecurity Fundamentals,edX
Programming & Data Structures,edX
Docker & Kubernetes: The Practical Guide,Udemy
The Complete Bitcoin Course: Get .00001 BTC In Your Wallet,Udemy
Artificial Intelligence for Business,Udemy
Implementing an Information Security Program,LinkedIn Learning
Deep Learning with TensorFlow 2.0 [2020],Udemy
Ethical Hacking: Penetration Testing,LinkedIn Learning
Understanding Machine Learning,Pluralsight
Computer Networks Security from Scratch to Advanced,Udemy
Conda Essentials,Datacamp
Hacker Ético Profissional com Kali Linux 2021,Udemy
Introduction to Quantum Computing,edX
Super Formação Inteligência Artificial e Machine Learning,Udemy
Aprendendo terminal Linux pondo a mão na massa!,Udemy
DevOps Tutorial: Complete Beginners Training - 5 in 1 Bundle,Udemy
Learning Data Structures in JavaScript from Scratch,Udemy
Transitioning to a Career in Cybersecurity,LinkedIn Learning
The Complete Ethical Hacking Course,Udemy
Machine Learning Practical: 6 Real-World Applications,Udemy
The Definitive Ethical Hacking Course - Learn From Scratch,Udemy
Machine Learning and AI Foundations: Classification Modeling,LinkedIn Learning
Soporte de Tecnologías de la Información de Google,Coursera
The Complete Cryptocurrency Investment Course,Udemy
PyTorch for Deep Learning with Python Bootcamp,Udemy
Ubuntu Linux Server Basics,Udemy
"Deep Learning, Neuronale Netze & AI: Der Komplettkurs",Udemy
【画像判定AIアプリ開発・パート1】TensorFlow・Python・Flaskで作る画像判定AIアプリ開発入門,Udemy
The Beginner's Guide to Artificial Intelligence in Unity.,Udemy
Learning Arduino: Interfacing with Hardware,LinkedIn Learning
BASH Programming Course: Master the Linux Command Line!,Udemy
The Docker for DevOps course: From development to production,Udemy
Clear and Simple VMware NSX 6.2 and vSphere Virtual Networks,Udemy
Hacking Corporativo - Curso Completo - De cero a cien,Udemy
Feature Engineering for Machine Learning,Udemy
Learning Arduino: Interfacing with Analog Devices,LinkedIn Learning
Securing and Integrating Components of your Application,Coursera
Embedded Linux Step by Step using Beaglebone Black,Udemy
"CompTIA Network+ (N10-007) Cert Prep: 7 Wireless, Virtual, Cloud, and Mobile Networking",LinkedIn Learning
Deep Learning com Python de A a Z - O Curso Completo,Udemy
Curso completo de Inteligencia Artificial con Python,Udemy
"Deep Learning Computer Vision™ CNN, OpenCV, YOLO, SSD & GANs",Udemy
Machine Learning ve Python: A'dan Z'ye Makine Öğrenmesi (4),Udemy
Generative Adversarial Networks (GANs),Coursera
Master of Computer and Information Technology,Coursera
Ethical Hacking: Sniffers,LinkedIn Learning
Cryptocurrency Foundations,LinkedIn Learning
Kubernetes Made Easy: Learn Kubernetes From Scratch,Udemy
Ethical Hacking: Footprinting and Reconnaissance,LinkedIn Learning
DevOps Foundations: Containers,LinkedIn Learning
CompTIA A+ (220-1002) Cert Prep 1: Getting Started,LinkedIn Learning
Ethical Hacking & Cyber Security Course : Complete Package,Udemy
IT Security and Ethical Hacking,Udemy
A Complete Guide on TensorFlow 2.0 using Keras API,Udemy
【情報セキュリティ】Ethical Hacking：ホワイトハッカー入門,Udemy
Building Recommender Systems with Machine Learning and AI,Udemy
"The Complete Social Engineering, Phishing, OSINT & Malware",Udemy
Linux System Engineer: Bash Shell Scripting for Automation,LinkedIn Learning
Learning Computer Security and Internet Safety,LinkedIn Learning
Complete Ethical Hacking & Cyber Security Masterclass Course,Udemy
Cisco Network Security: VPN,LinkedIn Learning
CompTIA A+ (220-1001) Cert Prep 7: Understanding Networking,LinkedIn Learning
Machine Learning. Curso básico de Machine Learning,Udemy
AZ-304 Azure Architect Design Exam Prep 2020,Udemy
Ethical Hacking: Enumeration,LinkedIn Learning
A Beginner's Guide To Machine Learning with Unity,Udemy
Docker from A to Z™: Swarm + Jenkins,Udemy
Customer Service: Working in a Customer Contact Center,LinkedIn Learning
Network Ethical Hacking for beginners (Kali 2020 - Hands-on),Udemy
"Computing: Art, Magic, Science - Part II",edX
CompTIA Network+ (N10-007) Cert Prep: 9 Managing the Network,LinkedIn Learning
Ethereum: Building Blockchain Decentralized Apps (DApps),LinkedIn Learning
Basic Image Classification with TensorFlow,Coursera
Master Network Automation with Python for Network Engineers,Udemy
DP-900 Azure Data Fundamentals Exam Prep In One Day,Udemy
Introduction to Quantum Computing,LinkedIn Learning
Linux Ubuntu e Libre Office,Udemy
"The Ultimate Guide to Raspberry Pi : Tips, Tricks and Hacks",Udemy
"Deep Learning, Neuronale Netze und TensorFlow 2 in Python",Udemy
DevOps Foundations: Site Reliability Engineering,LinkedIn Learning
Crypto Trading 101: Buy Sell Trade Cryptocurrency for Profit,Udemy
CompTIA Network+ (N10-007) Cert Prep: 6 Advanced IP Networking,LinkedIn Learning
Data Visualization for Everyone,Datacamp
CompTIA A+ (220-1001) Cert Prep 4: Storage and Peripherals,LinkedIn Learning
Continuous Integration: Tools,LinkedIn Learning
Cybersecurity for Executives,LinkedIn Learning
Ethical Hacking: Session Hijacking,LinkedIn Learning
LPIC-1 Linux-Bootcamp - In 30 Tagen zum Linux-Admin,Udemy
Machine Learning Pipelines with Azure ML Studio,Coursera
Build a Blockchain & Cryptocurrency | Full-Stack Edition,Udemy
Palo Alto Networks Cybersecurity,Coursera
Computer Vision - Object Detection with OpenCV and Python,Coursera
CompTIA A+ (220-1001) Cert Prep 8: Internet and the Cloud,LinkedIn Learning
Complete Linux Bash Shell Scripting with Real Life Examples,Udemy
Ethical Hacking: Mobile Devices and Platforms,LinkedIn Learning
Computer Vision - Image Basics with OpenCV and Python,Coursera
AI in Fintech Essential Training,LinkedIn Learning
Mastering Data Science and Machine Learning Fundamentals,Udemy
Devops Fundamentals - CI/CD with AWS +Docker+Ansible+Jenkins,Udemy
Kali Linux Hacking Lab for Beginners,Udemy
The Complete Python Hacking Course: Beginner to Advanced!,Udemy
Cybersecurity Awareness: Phishing and Whaling,LinkedIn Learning
The Complete Android Ethical Hacking Practical Course C|AEHP,Udemy
Machine Learning and Data Science Hands-on with Python and R,Udemy
Recommendation Systems with TensorFlow on GCP,Coursera
Image Understanding with TensorFlow on GCP,Coursera
Hacking Web Applications and Penetration Testing: Fast Start,Udemy
Bash Shell scripting for admin and devops,Udemy
DevOps for Data Scientists,LinkedIn Learning
CompTIA A+ (220-1001) Cert Prep 6: Physical Networking,LinkedIn Learning
Ethical Hacking: Understanding Ethical Hacking,Pluralsight
Windows Privilege Escalation for Beginners,Udemy
Machine Learning & Data Science Foundations Masterclass,Udemy
Temel Seviye Etik Hacker Eğitimi,Udemy
Machine Learning & Deep Learning in Python & R,Udemy
"Kubernetes, de principiante a experto",Udemy
Machine Learning: Algorithms in the Real World,Coursera
Docker - SWARM - Hands-on - DevOps,Udemy
Serie Windows Server Update Services (WSUS),Udemy
Docker Swarm Mastery: DevOps Style Cluster Orchestration,Udemy
Docker Swarm: BEGINNER + ADVANCED,Udemy
ChatBots: How to Make a Facebook Messenger Chat Bot in 1hr,Udemy
IT Networking Fundamentals For Complete Beginners,Udemy
The Complete Splunk Enterprise Certified Admin Course 2021,Udemy
Reverse Engineering and Exploit Development,Udemy
U&P AI - Natural Language Processing (NLP) with Python,Udemy
Artificial Intelligence in Web Design Certification (2020),Udemy
Modern Natural Language Processing in Python,Udemy
Ethical Hacking: The Complete Malware Analysis Process,LinkedIn Learning
Raspberry Pi Full Stack Raspbian,Udemy
Cisco Network Security: Secure Access,LinkedIn Learning
Ethical Hacking - Hands-On Training - Part I,Udemy
Development of Secure Embedded Systems,Coursera
Programming Foundations: Secure Coding,LinkedIn Learning
The Complete Ethical Hacker Certification Exam Prep Course,Udemy
Mastering DNS on Windows Server 2016,Udemy
DevOps - Introducción y Fundamentos no técnicos,Udemy
Blockchain: Learning Solidity,LinkedIn Learning
"Python Programming for Network Engineers: Cisco, Netmiko ++",Udemy
Arduino Step by Step Getting Serious,Udemy
Kubernetes: Native Tools,LinkedIn Learning
CCNA Security and CCNP Security Deep Dive Part::1,Udemy
CompTIA A+ (220-1001) Cert Prep 5: Display Technologies,LinkedIn Learning
Complete Machine Learning with R Studio - ML for 2020,Udemy
RetroPie: Building a Video Game Console with Raspberry Pi,LinkedIn Learning
Hacking und Netzwerkanalyse mit Wireshark - Der Komplettkurs,Udemy
Artificial Intelligence Masterclass,Udemy
AI The LinkedIn Way: A Conversation with Deepak Agarwal,LinkedIn Learning
Learn DevOps: Advanced Kubernetes Usage,Udemy
Complete Ethical Hacking Bootcamp 2021: Zero to Mastery,Udemy
Python for Penetration Testers,Udemy
Learn Blockchain By Building Your Own In JavaScript,Udemy
Insights from a Cybersecurity Professional,LinkedIn Learning
TCP/IP Socket Programming in C# .Net For Coders & Students,Udemy
Putting ITIL® into Practice: DevOps for ITIL® Practitioners,LinkedIn Learning
Deep Learning ve Python: A'dan Z'ye Derin Öğrenme (5),Udemy
Command Line in Linux,Coursera
Managing G Suite,Coursera
The RedTeam Blueprint - A Unique Guide To Ethical Hacking,Udemy
Sparse Representations in Signal and Image Processing,edX
Learning XAI: Explainable Artificial Intelligence,LinkedIn Learning
Bachelor of Computer Science,Coursera
Curso Completo de Linux,Udemy
Artificial Intelligence in Digital Marketing (2020 Edition),Udemy
Learning Subnetting,LinkedIn Learning
